Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
91.809216, 0.027006, 2.542058
91.949363, 0.027054, 2.546196
92.089510, 0.027102, 2.550335
92.229657, 0.027150, 2.554473
92.369805, 0.027198, 2.558612
92.509952, 0.027246, 2.562751
92.650099, 0.027293, 2.566889
92.790247, 0.027341, 2.571028
92.930394, 0.027389, 2.575166
93.070541, 0.027437, 2.579305
93.210688, 0.027485, 2.583444
93.350836, 0.027533, 2.587582
93.490983, 0.027581, 2.591721
93.631130, 0.027629, 2.595860
93.771278, 0.027677, 2.599999
93.911425, 0.027724, 2.604137
94.051572, 0.027772, 2.608276
94.191720, 0.027820, 2.612415
94.331867, 0.027868, 2.616554
94.472014, 0.027916, 2.620693
94.612161, 0.027964, 2.624831
94.752309, 0.028012, 2.628970
94.892456, 0.028060, 2.633109
95.032603, 0.028108, 2.637248
95.172751, 0.028156, 2.641387
95.312898, 0.028203, 2.645526
95.453045, 0.028251, 2.649665
95.593192, 0.028299, 2.653804
95.733340, 0.028347, 2.657943
95.873487, 0.028395, 2.662082
96.013634, 0.028443, 2.666221
96.153782, 0.028491, 2.670360
96.293929, 0.028539, 2.674500
96.434076, 0.028587, 2.678639
96.574223, 0.028635, 2.682778
96.714371, 0.028683, 2.686917
96.854518, 0.028731, 2.691056
96.994665, 0.028779, 2.695196
97.134813, 0.028826, 2.699335
97.274960, 0.028874, 2.703474
97.415107, 0.028922, 2.707613
97.555254, 0.028970, 2.711753
97.695402, 0.029018, 2.715892
97.835549, 0.029066, 2.720031
97.975696, 0.029114, 2.724171
98.115844, 0.029162, 2.728310
98.255991, 0.029210, 2.732450
98.396138, 0.029258, 2.736589
98.536286, 0.029306, 2.740728
98.676433, 0.029354, 2.744868
98.816580, 0.029402, 2.749007
98.956727, 0.029450, 2.753147
99.096875, 0.029498, 2.757286
99.237022, 0.029545, 2.761426
99.377169, 0.029593, 2.765565
99.517317, 0.029641, 2.769705
99.657464, 0.029689, 2.773845
99.797611, 0.029737, 2.777984
99.937758, 0.029785, 2.782124
100.077906, 0.029833, 2.786263
100.218053, 0.029881, 2.790403
100.358200, 0.029929, 2.794543
100.498348, 0.029977, 2.798682
100.638495, 0.030025, 2.802822
100.778642, 0.030073, 2.806962
100.918789, 0.030121, 2.811102
101.058937, 0.030169, 2.815242
101.199084, 0.030217, 2.819381
101.339231, 0.030265, 2.823521
101.479379, 0.030313, 2.827661
101.619526, 0.030361, 2.831801
101.759673, 0.030408, 2.835941
101.899820, 0.030457, 2.840080
102.039968, 0.030504, 2.844220
102.180115, 0.030552, 2.848360
102.320262, 0.030600, 2.852500
102.460410, 0.030648, 2.856640
102.600557, 0.030696, 2.860780
102.740704, 0.030744, 2.864920
102.880851, 0.030792, 2.869060
103.020999, 0.030840, 2.873200
103.161146, 0.030888, 2.877340
103.301293, 0.030936, 2.881480
103.441441, 0.030984, 2.885620
103.581588, 0.031032, 2.889760
103.721735, 0.031080, 2.893900
103.861883, 0.031128, 2.898040
104.002030, 0.031176, 2.902180
104.142177, 0.031224, 2.906320
