Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
5.259062, 3.003352, 7.682913
5.266141, 3.007018, 7.691438
5.273219, 3.010686, 7.699962
5.280297, 3.014359, 7.708491
5.287375, 3.018110, 7.717040
5.294453, 3.021698, 7.725538
5.301531, 3.025370, 7.734064
5.308609, 3.029093, 7.742608
5.315688, 3.032705, 7.751098
5.322766, 3.036417, 7.759635
5.329844, 3.040084, 7.768157
5.336922, 3.043747, 7.776691
5.344000, 3.047425, 7.785216
5.351078, 3.051103, 7.793741
5.358156, 3.054783, 7.802267
5.365235, 3.058463, 7.810792
5.372313, 3.062144, 7.819318
5.379391, 3.066038, 7.827898
5.386469, 3.069712, 7.836420
5.393547, 3.073390, 7.844946
5.400625, 3.077075, 7.853472
5.407704, 3.080583, 7.861934
5.414782, 3.084269, 7.870460
5.421860, 3.087950, 7.878988
5.428938, 3.091637, 7.887514
5.436016, 3.095276, 7.896064
5.443094, 3.099013, 7.904566
5.450172, 3.102613, 7.913136
5.457251, 3.106435, 7.921598
5.464329, 3.110130, 7.930121
5.471407, 3.113779, 7.938667
5.478485, 3.117458, 7.947203
5.485563, 3.121211, 7.955767
5.492641, 3.124748, 7.964245
5.499719, 3.128616, 7.972744
5.506798, 3.132316, 7.981270
5.513876, 3.136013, 7.989797
5.520954, 3.139618, 7.998369
5.528032, 3.143357, 8.006876
5.535110, 3.147050, 8.015406
5.542188, 3.150747, 8.023934
5.549266, 3.154449, 8.032459
5.556345, 3.158149, 8.040986
5.563423, 3.161843, 8.049510
5.570501, 3.165568, 8.058025
5.577579, 3.169227, 8.066571
5.584657, 3.172939, 8.075092
5.591735, 3.176678, 8.083600
5.598813, 3.180354, 8.092141
5.605892, 3.184058, 8.100669
5.612970, 3.187762, 8.109196
5.620048, 3.191468, 8.117723
5.627126, 3.195173, 8.126251
5.634204, 3.198879, 8.134779
5.641282, 3.202585, 8.143307
5.648360, 3.206291, 8.151835
5.655439, 3.210000, 8.160363
5.662517, 3.213708, 8.168891
5.669595, 3.217417, 8.177419
5.676673, 3.221125, 8.185947
5.683751, 3.224835, 8.194476
